id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
bg_01_001	1.1	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	अथ प्रथमोऽध्यायः ।   अर्जुनविषादयोगः । धृतराष्ट्र उवाच ।धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः ।मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय  ॥ १-१॥	धर्मक्षेत्रे कुरुक्षेत्रे	समवेता युयुत्सवः । 	मामकाः पाण्डवाश्चैव	किमकुर्वत सञ्जय  ॥ १-१॥					FALSE	TRUE	TRUE			
bg_01_002	1.2	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	सञ्जय उवाच । दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।आचार्यमुपसंगम्य राजा वचनमब्रवीत् ॥ १-२॥	दृष्ट्वा तु पाण्डवानीकम्	व्यूढं दुर्योधनस्तदा ।	आचार्यमुपसंगम्य	राजा वचनमब्रवीत् ॥ १-२॥					FALSE	TRUE	TRUE			
bg_01_003	1.3	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् । व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ १-३॥	पश्यैतां पाण्डुपुत्राणाम्	आचार्य महतीं चमूम् ।	व्यूढां द्रुपदपुत्रेण	तव शिष्येण धीमता ॥ १-३॥					FALSE	TRUE	TRUE			
bg_01_004	1.4	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । युयुधानो विराटश्च द्रुपदश्च महारथः ॥ १-४॥	अत्र शूरा महेष्वासाः	भीमार्जुनसमा युधि ।	युयुधानो विराटश्च	द्रुपदश्च महारथः ॥ १-४॥					FALSE	TRUE	TRUE			
bg_01_005	1.5	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ १-५॥	धृष्टकेतुश्चेकितानः	काशिराजश्च वीर्यवान् । 	पुरुजित्कुन्तिभोजश्च	शैब्यश्च नरपुङ्गवः ॥ १-५॥					FALSE	TRUE	TRUE			
bg_01_006	1.6	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ १-६॥	युधामन्युश्च विक्रान्तः	उत्तमौजाश्च वीर्यवान् । 	सौभद्रो द्रौपदेयाश्च	सर्व एव महारथाः ॥ १-६॥					FALSE	TRUE	TRUE			
bg_01_007	1.7	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम । नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥ १-७॥	अस्माकं तु विशिष्टा ये	तान्निबोध द्विजोत्तम । 	नायका मम सैन्यस्य	संज्ञार्थं तान्ब्रवीमि ते ॥ १-७॥					FALSE	TRUE	TRUE			
bg_01_008	1.8	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः । अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ १-८॥	भवान्भीष्मश्च कर्णश्च	कृपश्च समितिञ्जयः । 	अश्वत्थामा विकर्णश्च	सौमदत्तिस्तथैव च ॥ १-८॥					FALSE	TRUE	TRUE			
bg_01_009	1.9	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः । नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ १-९॥	अन्ये च बहवः शूराः	मदर्थे त्यक्तजीविताः । 	नानाशस्त्रप्रहरणाः	सर्वे युद्धविशारदाः ॥ १-९॥					FALSE	TRUE	TRUE			
bg_01_010	1.10	अनुष्टुप्-->  श्लोके षष्ठं गुरु ज्ञेयं सर्वत्र लघु पंचमम्। द्विचतुष्पादयोर्ह्रस्वं सप्तमं दीर्घमन्ययोः॥	अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् । पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १-१०॥	अपर्याप्तं तदस्माकम्	बलं भीष्माभिरक्षितम् । 	पर्याप्तं त्विदमेतेषाम्	बलं भीमाभिरक्षितम् ॥ १-१०॥					FALSE	TRUE	TRUE			
